act,scene,player,text
I,I,EGEUS,With duty and desire we follow you.
I,I,StageDirection,Exeunt all but LYSANDER and HERMIA
I,I,LYSANDER,"How now, my love\! why is your cheek so pale?"
I,I,LYSANDER,How chance the roses there do fade so fast?
I,I,HERMIA,"Belike for want of rain, which I could well"
I,I,HERMIA,Beteem them from the tempest of my eyes.
I,I,LYSANDER,"Ay me\! for aught that I could ever read,"
I,I,LYSANDER,"Could ever hear by tale or history,"
I,I,LYSANDER,The course of true love never did run smooth;
I,I,LYSANDER,"But, either it was different in blood,--"
I,I,HERMIA,O cross\! too high to be enthrall'd to low.
I,I,LYSANDER,"Or else it stood upon the choice of friends,--"
I,I,HERMIA,O hell\! to choose love by another's eyes.
I,I,LYSANDER,"Or, if there were a sympathy in choice,"
I,I,LYSANDER,"War, death, or sickness did lay siege to it,"
I,I,LYSANDER,"Making it momentary as a sound,"
I,I,LYSANDER,"Swift as a shadow, short as any dream;"
I,I,LYSANDER,So quick bright things come to confusion.
I,I,HERMIA,"If then true lovers have been ever cross'd,"
I,I,HERMIA,"Then let us teach our trial patience,"
I,I,HERMIA,"Because it is a customary cross,"
I,I,HERMIA,"As due to love as thoughts and dreams and sighs,"
I,I,HERMIA,"Wishes and tears, poor fancy's followers."
I,I,LYSANDER,"A good persuasion: therefore, hear me, Hermia."
I,I,LYSANDER,"I have a widow aunt, a dowager"
I,I,LYSANDER,"Of great revenue, and she hath no child:"
I,I,LYSANDER,From Athens is her house remote seven leagues;
I,I,LYSANDER,"There, gentle Hermia, may I marry thee;"
I,I,LYSANDER,And to that place the sharp Athenian law
I,I,LYSANDER,"Cannot pursue us. If thou lovest me then,"
I,I,LYSANDER,Steal forth thy father's house to-morrow night;
I,I,LYSANDER,"And in the wood, a league without the town,"
I,I,LYSANDER,There will I stay for thee.
I,I,HERMIA,My good Lysander\!
I,I,HERMIA,"I swear to thee, by Cupid's strongest bow,"
I,I,HERMIA,"By the simplicity of Venus' doves,"
I,I,HERMIA,"By that which knitteth souls and prospers loves,"
I,I,HERMIA,"By all the vows that ever men have broke,"
I,I,HERMIA,"In number more than ever women spoke,"
I,I,HERMIA,"In that same place thou hast appointed me,"
I,I,HERMIA,To-morrow truly will I meet with thee.
I,I,LYSANDER,"Keep promise, love. Look, here comes Helena."
I,I,StageDirection,Enter HELENA
I,I,HERMIA,God speed fair Helena\! whither away?
I,I,HELENA,Call you me fair? that fair again unsay.
I,I,HELENA,Demetrius loves your fair: O happy fair\!
I,I,HELENA,Your eyes are lode-stars; and your tongue's sweet air
I,I,HELENA,"More tuneable than lark to shepherd's ear,"
I,I,HELENA,"When wheat is green, when hawthorn buds appear."
I,I,HELENA,"Sickness is catching: O, were favour so,"
I,I,HELENA,"Yours would I catch, fair Hermia, ere I go;"
I,I,HELENA,"O, teach me how you look, and with what art"
I,I,HELENA,You sway the motion of Demetrius' heart.
I,I,HERMIA,"I frown upon him, yet he loves me still."
I,I,HELENA,O that your frowns would teach my smiles such skill\!
I,I,HERMIA,"I give him curses, yet he gives me love."
I,I,HELENA,O that my prayers could such affection move\!
I,I,HERMIA,"His folly, Helena, is no fault of mine."
I,I,HELENA,"None, but your beauty: would that fault were mine\!"
I,I,HERMIA,Take comfort: he no more shall see my face;
I,I,HERMIA,Lysander and myself will fly this place.
I,I,HERMIA,"Before the time I did Lysander see,"
I,I,HERMIA,Seem'd Athens as a paradise to me:
I,I,HERMIA,"O, then, what graces in my love do dwell,"
I,I,HERMIA,That he hath turn'd a heaven unto a hell\!
I,I,LYSANDER,"Helen, to you our minds we will unfold:"
I,I,LYSANDER,"To-morrow night, when Phoebe doth behold"
I,I,LYSANDER,"Her silver visage in the watery glass,"
I,I,LYSANDER,Through Athens' gates have we devised to steal.
I,I,HERMIA,"And in the wood, where often you and I"
I,I,HERMIA,"Upon faint primrose-beds were wont to lie,"
I,I,HERMIA,"Emptying our bosoms of their counsel sweet,"
I,I,HERMIA,There my Lysander and myself shall meet;
I,I,HERMIA,"And thence from Athens turn away our eyes,"
I,I,HERMIA,To seek new friends and stranger companies.
I,I,HERMIA,"Farewell, sweet playfellow: pray thou for us;"
I,I,HERMIA,And good luck grant thee thy Demetrius\!
I,I,HERMIA,"Keep word, Lysander: we must starve our sight"
I,I,HERMIA,From lovers' food till morrow deep midnight.
I,I,LYSANDER,"I will, my Hermia."
I,I,StageDirection,Exit HERMIA
I,I,LYSANDER,"Helena, adieu:"
I,I,LYSANDER,"As you on him, Demetrius dote on you\!"
I,I,StageDirection,Exit
I,I,HELENA,How happy some o'er other some can be\!
I,I,HELENA,Through Athens I am thought as fair as she.
I,I,HELENA,But what of that? Demetrius thinks not so;
I,I,HELENA,"And as he errs, doting on Hermia's eyes,"
I,I,HELENA,"So I, admiring of his qualities:"
I,I,HELENA,"Love looks not with the eyes, but with the mind;"
I,I,HELENA,And therefore is wing'd Cupid painted blind:
I,I,HELENA,Nor hath Love's mind of any judgement taste;
I,I,HELENA,Wings and no eyes figure unheedy haste:
I,I,HELENA,"And therefore is Love said to be a child,"
I,I,HELENA,Because in choice he is so oft beguiled.
I,I,HELENA,"For ere Demetrius look'd on Hermia's eyne,"
I,I,HELENA,He hail'd down oaths that he was only mine;
I,I,HELENA,"And when this hail some heat from Hermia felt,"
I,I,HELENA,"So he dissolved, and showers of oaths did melt."
I,I,HELENA,I will go tell him of fair Hermia's flight:
I,I,HELENA,Then to the wood will he to-morrow night
I,I,HELENA,Pursue her; and for this intelligence
I,I,HELENA,"If I have thanks, it is a dear expense:"
I,I,HELENA,"But herein mean I to enrich my pain,"
I,I,HELENA,To have his sight thither and back again.
I,I,StageDirection,Exit
I,II,QUINCE,Is all our company here?
I,II,BOTTOM,"You were best to call them generally, one by one, according to the scrip."
I,II,QUINCE,"Here is the scroll of every one's name, which is thought fit, through all Athens, to play in our interlude before the duke and the duchess, on his wedding-day at night."
I,II,BOTTOM,"First, good Petra Quince, say what the play treats on, then read the names of the actors, and so grow to a point."
I,II,QUINCE,"Marry, our play is, *The most lamentable comedy, and most cruel death of Pyramus and Thisbe*."
I,II,BOTTOM,"A very good piece of work, I assure you, and a merry. Now, good Petra Quince, call forth your actors by the scroll. Actors, spread yourselves."
I,II,QUINCE,"Answer as I call you. Nick Bottom, the weaver."
I,II,BOTTOM,"Ready. Name what part I am for, and proceed."
I,II,QUINCE,"You, Nick Bottom, are set down for Pyramus."
I,II,BOTTOM,"What is Pyramus? a lover, or a tyrant?"
I,II,QUINCE,"A lover, that kills himself most gallant for love."
I,II,BOTTOM,"That will ask some tears in the true performing of it: if I do it, let the audience look to their eyes; I will move storms, I will condole in some"
I,II,BOTTOM,measure. To the rest. Yet my chief humour is for a tyrant: I could play Herc’les rarely.
I,II,BOTTOM,The raging rocks
I,II,BOTTOM,And shivering shocks
I,II,BOTTOM,Shall break the locks
I,II,BOTTOM,Of prison gates\!
I,II,BOTTOM,This was lofty\!
I,II,BOTTOM,Now name the rest of the players.
I,II,BOTTOM,"This is Herc’les' vein, a tyrant's vein; a lover is more condoling."
I,II,QUINCE,"Francis Flute, the bellows-mender."
I,II,FLUTE,"Here, Petra Quince."
I,II,QUINCE,"Flute, you must take Thisbe on you."
I,II,FLUTE,What is Thisbe? a wandering knight?
I,II,QUINCE,It is the lady that Pyramus must love.
I,II,FLUTE,"Nay, faith, let me not play a woman; I have a beard coming."
I,II,QUINCE,"That's all one: you shall play it in a mask, and you may speak as small as you will."
I,II,BOTTOM,"An I may hide my face, let me play Thisbe too, I'll speak in a monstrous little voice. 'Thisne, Thisne;' 'Ah, Pyramus, lover dear.'"
I,II,QUINCE,"No, no; you must play Pyramus: and, Flute, you Thisbe."
I,II,BOTTOM,"Well, proceed."
I,II,QUINCE,"Robin Starveling, the tailor."
I,II,STARVELING,"Here, Petra Quince."
I,II,QUINCE,"Robin Starveling, you must play Thisbe's mother. Nell Snout, the tinker."
I,II,SNOUT,"Here, Petra Quince."
I,II,QUINCE,"You, Pyramus' father: myself, Thisbe's father: Snug, the joiner; you, the lion's part: and, I hope, here is a play fitted."
I,II,SNUG,"Have you the lion's part written? pray you, if it be, give it me, for I am slow of study."
I,II,QUINCE,"You may do it extempore, for it is nothing but roaring."
I,II,BOTTOM,"Let me play the lion too: I will roar, that I will make the duke say 'Let him roar again, let him roar again.'"
I,II,QUINCE,"An you should do it too terribly, you would fright the duchess and the ladies, that they would shriek; and that were enough to hang us all."
I,II,ALL,"That would hang us, every mother's child."
I,II,BOTTOM,"I grant you, friends, if that you should fright the ladies out of their wits, they would have no more discretion but to hang us: but I will aggravate my voice so that I will roar you as gently as any nightingale."
I,II,QUINCE,You can play no part but Pyramus; for Pyramus is a sweet-faced man;
I,II,QUINCE,"a proper man, as one shall see in a summer's day; a most lovely gentleman-like man: therefore you must needs play Pyramus."
I,II,BOTTOM,"Well, I will undertake it."
I,II,QUINCE,"Friends, here are your parts: and I am to entreat you, request you and desire you, to con them by to-morrow night; and meet me in the palace wood, a mile without the town, by moonlight; there will we rehearse, for if we meet in the city, we shall be dogged with company, and our devices known. In the meantime I will draw a bill of properties, such as our play wants. I pray you, fail me not."
I,II,BOTTOM,We will meet; and there we may rehearse most obscenely and courageously. Take pains; be perfect: adieu.
I,II,QUINCE,At the duke's oak we meet.
I,II,BOTTOM,Enough; hold or cut bow-strings.                  	*Exeunt*
II,I,StageDirection,"Enter, from opposite sides, MUSTARDSEED and PUCK"
II,I,PUCK,"How now, spirit\! whither wander you?"
II,I,MUSTARDSEED (MOTH),"Over hill, over dale,"
II,I,MUSTARDSEED (MOTH),"Thorough bush, thorough brier,"
II,I,MUSTARDSEED (MOTH),"Over park, over pale,"
II,I,MUSTARDSEED (MOTH),"Thorough flood, thorough fire,"
II,I,MUSTARDSEED (MOTH),"I do wander everywhere,"
II,I,MUSTARDSEED (MOTH),Swifter than the moon's sphere;
II,I,MUSTARDSEED (MOTH),"And I serve the fairy queen,"
II,I,MUSTARDSEED (MOTH),To dew her orbs upon the green.
II,I,MUSTARDSEED (MOTH),"Those be rubies, fairy favours,"
II,I,MUSTARDSEED (MOTH),In those freckles live their savours:.
II,I,MUSTARDSEED (MOTH),"Farewell, thou lob of spirits; I'll be gone:"
II,I,MUSTARDSEED (MOTH),Our queen and all our elves come here anon.
II,I,PUCK,The king doth keep his revels here to-night:
II,I,PUCK,Take heed the queen come not within his sight;
II,I,PUCK,"For Oberon is passing fell and wrath,"
II,I,PUCK,Because that she as her attendant hath
II,I,PUCK,"A lovely boy, stolen from a distant king;"
II,I,PUCK,And jealous Oberon would have the child
II,I,PUCK,"Knight of his train, to trace the forests wild;"
II,I,PUCK,"But she perforce withholds the lovéd boy,"
II,I,PUCK,Crowns him with flowers and makes him all her joy:
II,I,PUCK,"And now they never meet in grove or green,"
II,I,PUCK,"By fountain clear, or spangled starlight sheen,"
II,I,PUCK,"But, they do square, that all their elves for fear"
II,I,PUCK,Creep into acorn-cups and hide them there.
II,I,MUSTARDSEED,"Either I mistake your shape and making quite,"
II,I,MUSTARDSEED,Or else you are that shrewd and knavish sprite
II,I,MUSTARDSEED,Call'd Robin Goodfellow: are not you he
II,I,MUSTARDSEED,That frights the maidens of the villagery;
II,I,MUSTARDSEED,"Mislead night-wanderers, laughing at their harm?"
II,I,MUSTARDSEED,"Those that Hobgoblin call you and sweet Puck,"
II,I,MUSTARDSEED,"You do their work, and they shall have good luck:"
II,I,MUSTARDSEED,Are not you he?
II,I,PUCK,Thou speak'st aright;
II,I,PUCK,I am that merry wanderer of the night.
II,I,PUCK,I jest to Oberon and make him smile
II,I,PUCK,"When I a fat and bean-fed horse beguile,"
II,I,PUCK,Neighing in likeness of a filly foal:
II,I,PUCK,"The wisest aunt, telling the saddest tale,"
II,I,PUCK,Sometime for three-foot stool mistaketh me;
II,I,PUCK,"Then slip I from her bum, down topples she,"
II,I,PUCK,And then the whole choir hold their hips and swear
II,I,PUCK,A merrier hour was never wasted there.
II,I,PUCK,"But, room, fairy\! here comes Oberon."
II,I,MUSTARDSEED,And here my mistress. Would that he were gone\!
II,I,StageDirection,"Enter, from one side, OBERON; from the other, TITANIA, with her fairies."
II,I,OBERON,"Ill met by moonlight, proud Titania."
II,I,TITANIA,"What, jealous Oberon\! Fairies, skip hence:"
II,I,TITANIA,I have forsworn his bed and company.
II,I,OBERON,"Tarry, rash wanton: am not I thy lord?"
II,I,TITANIA,Then I must be thy lady: but I know
II,I,TITANIA,When thou hast stolen away from fairy land.
II,I,TITANIA,"Why art thou here,"
II,I,TITANIA,"But that, forsooth, the bouncing Amazon,"
II,I,TITANIA,"Your buskin'd mistress and your warrior love,"
II,I,TITANIA,"To Theseus must be wedded, and you come"
II,I,TITANIA,To give their bed joy and prosperity.
II,I,OBERON,"How canst thou thus for shame, Titania,"
II,I,OBERON,"Glance at my credit with Hippolyta,"
II,I,OBERON,Knowing I know thy love to Theseus?
II,I,TITANIA,These are the forgeries of jealousy:
II,I,TITANIA,"And never, since the middle summer's spring,"
II,I,TITANIA,"Met we on hill, in dale, forest or mead,"
II,I,TITANIA,"By paved fountain or by rushy brook,"
II,I,TITANIA,"To dance our ringlets to the whistling wind,"
II,I,TITANIA,But with thy brawls thou hast disturb'd our sport.
II,I,TITANIA,"Therefore the winds, piping to us in vain,"
II,I,TITANIA,"As in revenge, have suck'd up from the sea"
II,I,TITANIA,Contagious fogs; which falling in the land
II,I,TITANIA,Have every pelting river made so proud
II,I,TITANIA,That they have overborne their continents:
II,I,TITANIA,"The ploughman’s lost his sweat, and the green corn"
II,I,TITANIA,Hath rotted ere his youth attain'd a beard.
II,I,TITANIA,No night is now with hymn or carol blest.
II,I,TITANIA,"Therefore the moon, the governess of floods,"
II,I,TITANIA,"Pale in her anger, washes all the air,"
II,I,TITANIA,That rheumatic diseases do abound:
II,I,TITANIA,And thorough this distemperature we see
II,I,TITANIA,The seasons alter: hoary-headed frosts
II,I,TITANIA,"Fall in the fresh lap of the crimson rose,"
II,I,TITANIA,And on old Hiems' thin and icy crown
II,I,TITANIA,"The spring, the summer,"
II,I,TITANIA,"The childing autumn, angry winter, change"
II,I,TITANIA,"Their wonted liveries, and the mazed world,"
II,I,TITANIA,"By their increase, now knows not which is which:"
II,I,TITANIA,And this same progeny of evils comes
II,I,TITANIA,"From our debate, from our dissension;"
II,I,TITANIA,We are their parents and original.
II,I,OBERON,Do you amend it then; it lies in you:
II,I,OBERON,Why should Titania cross her Oberon?
II,I,OBERON,"I do but beg a little changeling boy,"
II,I,OBERON,To be my henchman.
II,I,TITANIA,Set your heart at rest:
II,I,TITANIA,The fairy land buys not the child of me.
II,I,TITANIA,His mother was a votaress of my order:
II,I,TITANIA,"And, in the spiced seaside air, by night,"
II,I,TITANIA,"Full often hath she gossip'd by my side,"
II,I,TITANIA,"And sat with me on Neptune's yellow sands,"
II,I,TITANIA,"Marking the embarked traders on the flood,"
II,I,TITANIA,When we have laugh'd to see the sails conceive
II,I,TITANIA,And grow big-bellied with the wanton wind;
II,I,TITANIA,"Which she, with pretty and with swimming gait"
II,I,TITANIA,"Following,--her womb then rich with my young squire,--"
II,I,TITANIA,"Would imitate, and sail upon the land,"
II,I,TITANIA,"To fetch me trifles, and return again,"
II,I,TITANIA,"As from a voyage, rich with merchandise."
II,I,TITANIA,"But she, being mortal, of that boy did die;"
II,I,TITANIA,"And for her sake do I rear up her boy,"
II,I,TITANIA,And for her sake I will not part with him.
II,I,OBERON,How long within this wood intend you stay?
II,I,TITANIA,Perchance till after Theseus' wedding-day.
II,I,TITANIA,If you will patiently dance in our round
II,I,TITANIA,"And see our moonlight revels, go with us;"
II,I,TITANIA,"If not, shun me, and I will spare your haunts."
II,I,OBERON,"Give me that boy, and I will go with thee."
II,I,TITANIA,"Not for thy fairy kingdom. Fairies, away\!"
II,I,TITANIA,"We shall chide downright, if I longer stay."
II,I,StageDirection,Exit TITANIA with her train
II,I,OBERON,"Well, go thy way: thou shalt not from this grove"
II,I,OBERON,Till I torment thee for this injury.
II,I,OBERON,"My gentle Puck, come hither. Thou rememberest"
II,I,OBERON,"Since once I sat upon a promontory,"
II,I,OBERON,And heard a mermaid on a dolphin's back
II,I,OBERON,Uttering such dulcet and harmonious breath
II,I,OBERON,That the rude sea grew civil at her song.
II,I,PUCK,I remember.
II,I,OBERON,"That very time I saw, but thou couldst not,"
II,I,OBERON,"Flying between the cold moon and the earth,"
II,I,OBERON,Cupid all arm'd: a certain aim he took
II,I,OBERON,"And loosed his love-shaft smartly from his bow,"
II,I,OBERON,As it should pierce a hundred thousand hearts;
II,I,OBERON,Yet mark'd I where the bolt of Cupid fell:
II,I,OBERON,"It fell upon a little western flower,"
II,I,OBERON,"Before milk-white, now purple with love's wound,"
II,I,OBERON,And maidens call it love-in-idleness.
II,I,OBERON,The juice of it on sleeping eye-lids laid
II,I,OBERON,Will make or man or woman madly dote
II,I,OBERON,Upon the next live creature that it sees.
II,I,OBERON,Fetch me this herb; and be thou here again
II,I,OBERON,Ere the leviathan can swim a league.
II,I,PUCK,I'll put a girdle round about the earth
II,I,PUCK,In forty minutes.
II,I,StageDirection,Exit
II,I,OBERON,"Having once this juice,"
II,I,OBERON,"I'll watch Titania when she is asleep,"
II,I,OBERON,And drop the liquor of it in her eyes.
II,I,OBERON,"The next thing then she waking looks upon,"
II,I,OBERON,"Be it on lion, bear, or wolf, or bull,"
II,I,OBERON,"On meddling monkey, or on busy ape,"
II,I,OBERON,She shall pursue it with the soul of love:
II,I,OBERON,"And ere I take this charm from off her sight,"
II,I,OBERON,"As I can take it with another herb,"
II,I,OBERON,I'll make her render up her page to me.
II,I,OBERON,But who comes here? I am invisible;
II,I,OBERON,And I will overhear their conference.
II,I,StageDirection,"Enter DEMETRIUS, HELENA, following him."
II,I,DEMETRIUS,"I love thee not, therefore pursue me not."
II,I,DEMETRIUS,Where is Lysander and fair Hermia?
II,I,DEMETRIUS,"The one I'll stay, the other stayeth me."
II,I,DEMETRIUS,Thou told'st me they were stolen unto this wood.
II,I,DEMETRIUS,"O get thee gone, and follow me no more."
II,I,HELENA,"You draw me, you hard-hearted adamant;"
II,I,HELENA,"But yet you draw not iron, for my heart"
II,I,HELENA,"Is true as steel: leave you your power to draw,"
II,I,HELENA,And I shall have no power to follow you.
II,I,DEMETRIUS,Do I entice you? do I speak you fair?
II,I,DEMETRIUS,"Or, rather, do I not in plainest truth"
II,I,DEMETRIUS,"Tell you, I do not, nor I cannot love you?"
II,I,HELENA,And even for that do I love you the more.
II,I,HELENA,"I am your spaniel; and, Demetrius,"
II,I,HELENA,"The more you beat me, I will fawn on you:"
II,I,HELENA,"Use me but as your spaniel, spurn me, strike me,"
II,I,HELENA,"Neglect me, lose me; only give me leave,"
II,I,HELENA,"Unworthy as I am, to follow you."
II,I,HELENA,"What worser place can I beg in your love,--"
II,I,HELENA,"And yet a place of high respect with me,--"
II,I,HELENA,Than to be uséd as you use your dog?
II,I,DEMETRIUS,"You do impeach your modesty too much,"
II,I,DEMETRIUS,To leave the city and commit yourself
II,I,DEMETRIUS,Into the hands of one that loves you not;
II,I,DEMETRIUS,To trust the opportunity of night
II,I,DEMETRIUS,And the ill counsel of a desert place
II,I,DEMETRIUS,With the rich worth of your virginity.
II,I,HELENA,Your virtue is my privilege------
II,I,HELENA,"Nor doth this wood lack worlds of company,"
II,I,HELENA,For you in my respect are all the world:
II,I,HELENA,"Then how can it be said I am alone,"
II,I,HELENA,When all the world is here to look on me?
II,I,DEMETRIUS,"I'll run from thee and hide me in the brakes,"
II,I,DEMETRIUS,And leave thee to the mercy of wild beasts.
II,I,HELENA,The wildest hath not such a heart as you.
II,I,HELENA,"Run when you will, the story shall be changed:"
II,I,HELENA,"Apollo flies, and Daphne holds the chase;"
II,I,HELENA,The dove pursues the griffin; the mild hind
II,I,HELENA,"Makes speed to catch the tiger; bootless speed,"
II,I,HELENA,When cowardice pursues and valour flies.
II,I,DEMETRIUS,I will not stay thy questions; let me go:
II,I,DEMETRIUS,"Or, if thou follow me, do not believe"
II,I,DEMETRIUS,But I shall do thee mischief in the wood.
II,I,HELENA,"Ay, in the temple, in the town, the field,"
II,I,HELENA,"You do me mischief. Fie, Demetrius\!"
II,I,HELENA,Your wrongs do set a scandal on my sex:
II,I,HELENA,"We cannot fight for love, as men may do;"
II,I,HELENA,We should be wooed and were not made to woo.
II,I,StageDirection,Exit DEMETRIUS
II,I,HELENA,"I'll follow thee and make a heaven of hell,"
II,I,HELENA,To die upon the hand I love so well.
II,I,StageDirection,Exit
II,I,OBERON,"Fare thee well, nymph: ere he do leave this grove,"
II,I,OBERON,Thou shalt fly him and he shall seek thy love.
II,I,StageDirection,Re-enter PUCK
II,I,OBERON,"Hast thou the flower there? Welcome, wanderer."
II,I,PUCK,"Ay, there it is."
II,I,OBERON,"I pray thee, give it me."
II,I,OBERON,"I know a bank where the wild thyme blows,"
II,I,OBERON,"Where oxlips and the nodding violet grows,"
II,I,OBERON,"There sleeps Titania sometime of the night,"
II,I,OBERON,Lull'd in these flowers with dances and delight;
II,I,OBERON,"And with the juice of this I'll streak her eyes,"
II,I,OBERON,And make her full of hateful fantasies.
II,I,OBERON,"Take thou some of it, and seek through this grove:"
II,I,OBERON,A sweet Athenian lady is in love
II,I,OBERON,With a disdainful youth: anoint his eyes;
II,I,OBERON,But do it when the next thing he espies
II,I,OBERON,May be the lady: thou shalt know the man
II,I,OBERON,By the Athenian garments he hath on.
